poet,gender,
Mel Nichols,F,
Mary Mapes Dodge,F,
Nancy McCleery,F,
John Hodgen,M,
Susan Kelly-DeWitt,F,
Mark Wunderlich,M,
Simone White,F,
Elena Karina Byrne,F,
Dan Howell,M,
Anna Swir,F,
Lew R. Sarett,M,
John Wilkinson,M,
Eugene Field,F,
Abid B Al-Abras,M,
K. Silem Mohammad,M,
Don Bogen,M,
David Bengtson,M,
Max Mendelsohn,M,
Jos Charles,T,
Stanley Moss,M,
Göran Sonnevi,M,
Sharon Mesmer,F,
John Dowland,M,
Tim Dlugos,M,
Lani O'Hanlon,F,
Valerie Martínez,F,
Hugh MacDiarmid,M,
Dore Kiesselbach,M,
Steven Schneider,M,
Gerald Vizenor,M,
Mary Collier,F,
Joyce Peseroff,F,
Andrew Motion,M,
Marko Vesović,,
Morgan Parker,M,
Mike Puican,M,
Paolo Javier,M,
Jen Hofer,F,
Michael Miller,M,
Layli Long Soldier,,
Jack Conway,M,
Mark Tardi,M,
Elizabeth Bishop,F,
Rosebud Ben-Oni,,
Pierre Reverdy,M,
Huang Fan,,
Michelle Boisseau,F,
Cynthia Rylant,F,
K Ming Chang,,
Angelo Giambra,M,
John Fuller,M,
Charles Reznikoff,M,
John Ashbery,M,
Hera Lindsay Bird,,
Vivian Smith,F,
D. R. Goodman,,
Clint Smith,M,
Jo McDougall,,
Arthur Gorges,M,
Al Maginnes,,
Robert Burns,M,
Thomas Pfau,M,
John Spaulding,M,
Timothy Yu,M,
Theodore Worozbyt,M,
Murray Edmond,M,
Daniel J. Langton,M,
Lynda Hull,F,
Cathy Park Hong,F,
Joe Brainard,M,
May Swenson,F,
Jennifer Tonge,F,
Angela Jackson,F,
Scott Helmes,M,
Patrick Dubost,M,
Hans Magnus Enzensberger,M,
Eleanor Ross Taylor,F,
Lewis Warsh,M,
Jessica Laser,F,
Donald Revell,M,
Susan Meyers,F,
Mary Jones,F,
Terry Wolverton,M,
Thomas McGrath,M,
Jane Whitledge,F,
Henry Newbolt,M,
Jin Eun-Young,,
Christian Milne,M,
Tomás Q. Morín,M,
Alice B. Fogel,F,
Peter Spagnuolo,M,
John Masefield,M,
Jennifer Militello,F,
Gabriel Welsch,M,
Eleanor Hooker,F,
Ben Estes,M,
Alan Feldman,M,
Christina Pugh,F,
Harry Mathews,M,
Lisa Barnett,F,
Geoffrey Hilsabeck,M,
Bill Holm,M,
Saundra Rose Maley,,
Amy E. Sklansky,F,
Kevin Killian,M,
Maya Angelou,F,
Amy Beeder,F,
Edith Södergran,F,
Bill Zavatsky,M,
John Ciardi,M,
Michael Wasson,M,
Dorothea Tanning,F,
Jennifer O'Grady,F,
Gregory Pardlo,M,
Ben Belitt,M,
Michelle O’Sullivan,F,
Umberto Fiori,M,
Sandra Lim,F,
Lawrence Raab,,
Lynn Xu,F,
John Taggart,M,
Walter McDonald,M,
Joanna Fuhrman,F,
Gayle Danley,M,
Matthew Prior,M,
Cynthia Ventresca,F,
Jorge Evans,M,
Ted Berrigan,M,
Katie Cappello,F,
mIEKAL aND,,
LeAnne Howe,,
Cleopatra Mathis,F,
Carol V. Davis,F,
Marilyn Hacker,F,
Carl Marcum,M,
Czeslaw Milosz,,
Adam Kirsch,M,
Mina Loy,F,
Tim Nolan,M,
Amanda Strand,F,
Katherine Philips,F,
George Albon,M,
Diane Glancy,F,
Ko Un,,
Warren Woessner,,
Tim Wells,M,
Kelle Groom,F,
Kalli Dakos,,
John Unterecker,M,
Carol Muske-Dukes,F,
Jalal al-Din Rumi,,
Karla Huston,F,
Jessica Greenbaum,F,
Colette Labouff Atkinson,,
Kathleen Jamie,F,
Primo Levi,,
Paul Tran,M,
Donald Justice,M,
Rita Dove,F,
Robert Fitterman,M,
LaWanda Walters,,
giovanni singleton,M,
Molly McQuade,F,
W. S. Merwin,,
A. E. Stallings,,
Bill Manhire,M,
John De Stefano,M,
Ray Amorosi,M,
Alex Phillips,M,
Joseph Seamon Cotter Sr.,M,
Philip Gallo,M,
Paul Verlaine,M,
Stephen Dunn,M,
Orlando Ricardo Menes,M,
Lily Cao,F,
Hoa Nguyen,,
Marcus B. Christian,M,
Tishani Doshi,,
Robin Behn,,
Ange Mlinko,F,
Angela Shaw,F,
Julian Randall,F,
Peter Dale Scott,M,
Laura Kasischke,F,
John Lyly,M,
John Gay,M,
Eleni Sikelianos,F,
P. Inman,,
Peter Sacks,M,
Dana Gioia,F,
Joyelle McSweeney,F,
